,age,choice,createdAt,question,step,user,result,topic,ageGroup
14615,12,right,2019-05-28 12:17:46.023000+00:00,C_E_F_T,6,d09631e3,correct,cards,11-13
592,12,left,2019-05-28 12:17:49.053000+00:00,G_E_F_O,5,1454962c,correct,geometry,11-13
14627,12,left,2019-05-28 12:17:49.510000+00:00,C_E_F_C,7,d09631e3,correct,cards,11-13
10963,12,left,2019-05-28 12:17:50.884000+00:00,A_E_F_T,0,a3344a41,correct,animals,11-13
14641,12,right,2019-05-28 12:17:52.826000+00:00,C_E_F_O,8,d09631e3,correct,cards,11-13
546,12,right,2019-05-28 12:17:53.817000+00:00,C_E_F_T,6,1454962c,correct,cards,11-13
10968,12,right,2019-05-28 12:17:55.175000+00:00,A_E_F_O,1,a3344a41,correct,animals,11-13
14607,12,right,2019-05-28 12:17:57.153000+00:00,C_E_M_O,9,d09631e3,correct,cards,11-13
10990,12,left,2019-05-28 12:17:59.453000+00:00,A_E_F_C,2,a3344a41,wrong,animals,11-13
533,12,left,2019-05-28 12:18:00.209000+00:00,C_E_F_C,7,1454962c,correct,cards,11-13
8055,12,right,2019-05-28 12:18:00.701000+00:00,A_E_F_C,2,6a36b606,correct,animals,11-13
10924,12,right,2019-05-28 12:18:00.860000+00:00,A_E_F_C,2,a3344a41,correct,animals,11-13
14651,12,left,2019-05-28 12:18:01.975000+00:00,C_E_M_C,10,d09631e3,correct,cards,11-13
14611,12,left,2019-05-28 12:18:04.030000+00:00,C_E_M_T,11,d09631e3,correct,cards,11-13
10950,12,left,2019-05-28 12:18:05.084000+00:00,G_E_F_C,3,a3344a41,correct,geometry,11-13
553,12,right,2019-05-28 12:18:05.733000+00:00,C_E_F_O,8,1454962c,correct,cards,11-13
536,12,left,2019-05-28 12:18:08.609000+00:00,A_E_M_T,9,1454962c,correct,animals,11-13
10943,12,right,2019-05-28 12:18:09.947000+00:00,G_E_F_T,4,a3344a41,correct,geometry,11-13
14662,12,right,2019-05-28 12:18:10.660000+00:00,G_E_M_O,12,d09631e3,correct,geometry,11-13
8031,12,left,2019-05-28 12:18:11.814000+00:00,G_E_F_C,3,6a36b606,correct,geometry,11-13
10927,12,left,2019-05-28 12:18:14.236000+00:00,G_E_F_O,5,a3344a41,correct,geometry,11-13
14617,12,right,2019-05-28 12:18:14.815000+00:00,G_E_M_C,13,d09631e3,correct,geometry,11-13
8008,12,right,2019-05-28 12:18:15.370000+00:00,G_E_F_T,4,6a36b606,correct,geometry,11-13
8039,12,left,2019-05-28 12:18:17.838000+00:00,G_E_F_O,5,6a36b606,correct,geometry,11-13
10987,12,right,2019-05-28 12:18:18.411000+00:00,C_E_F_T,6,a3344a41,correct,cards,11-13
14667,12,left,2019-05-28 12:18:19.172000+00:00,G_E_M_T,14,d09631e3,correct,geometry,11-13
8002,12,right,2019-05-28 12:18:21.168000+00:00,C_E_F_T,6,6a36b606,correct,cards,11-13
14625,12,left,2019-05-28 12:18:22.560000+00:00,A_E_M_T,15,d09631e3,correct,animals,11-13
10970,12,left,2019-05-28 12:18:24.132000+00:00,C_E_F_C,7,a3344a41,correct,cards,11-13
8024,12,left,2019-05-28 12:18:27.321000+00:00,C_E_F_C,7,6a36b606,correct,cards,11-13
14638,12,left,2019-05-28 12:18:27.333000+00:00,A_E_M_O,16,d09631e3,correct,animals,11-13
14633,12,left,2019-05-28 12:18:30.438000+00:00,A_E_M_C,17,d09631e3,wrong,animals,11-13
14657,12,right,2019-05-28 12:18:33.317000+00:00,A_E_M_C,17,d09631e3,correct,animals,11-13
14634,12,left,2019-05-28 12:18:36.031000+00:00,G_H_F_OT,18,d09631e3,orientation,geometry,11-13
7995,12,right,2019-05-28 12:18:36.660000+00:00,C_E_F_O,8,6a36b606,correct,cards,11-13
14635,12,right,2019-05-28 12:18:38.222000+00:00,G_H_F_CO,19,d09631e3,color,geometry,11-13
14639,12,left,2019-05-28 12:18:41.259000+00:00,G_H_F_CT,20,d09631e3,color,geometry,11-13
10933,12,right,2019-05-28 12:18:42.696000+00:00,C_E_F_O,8,a3344a41,correct,cards,11-13
14616,12,left,2019-05-28 12:18:43.727000+00:00,A_H_F_CT,21,d09631e3,type,animals,11-13
7994,12,right,2019-05-28 12:18:44.784000+00:00,G_E_M_O,9,6a36b606,correct,geometry,11-13
566,12,left,2019-05-28 12:18:47.076000+00:00,A_E_M_O,10,1454962c,correct,animals,11-13
10922,12,right,2019-05-28 12:18:47.096000+00:00,C_E_M_O,9,a3344a41,correct,cards,11-13
14606,12,right,2019-05-28 12:18:48.122000+00:00,A_H_F_OT,22,d09631e3,orientation,animals,11-13
7993,12,right,2019-05-28 12:18:50.561000+00:00,G_E_M_C,10,6a36b606,correct,geometry,11-13
10982,12,left,2019-05-28 12:18:53.280000+00:00,C_E_M_C,10,a3344a41,correct,cards,11-13
596,12,right,2019-05-28 12:18:53.398000+00:00,A_E_M_C,11,1454962c,correct,animals,11-13
14652,12,left,2019-05-28 12:18:54.516000+00:00,A_H_F_CO,23,d09631e3,orientation,animals,11-13
10959,12,left,2019-05-28 12:18:56.049000+00:00,C_E_M_T,11,a3344a41,correct,cards,11-13
8058,12,left,2019-05-28 12:18:56.947000+00:00,G_E_M_T,11,6a36b606,correct,geometry,11-13
14661,12,left,2019-05-28 12:18:57.331000+00:00,C_H_F_CO,24,d09631e3,color,cards,11-13
594,12,left,2019-05-28 12:18:58.394000+00:00,G_E_M_O,12,1454962c,wrong,geometry,11-13
10988,12,left,2019-05-28 12:18:58.957000+00:00,A_E_M_T,12,a3344a41,correct,animals,11-13
530,12,right,2019-05-28 12:18:59.651000+00:00,G_E_M_O,12,1454962c,correct,geometry,11-13
14609,12,right,2019-05-28 12:19:00.011000+00:00,C_H_F_CT,25,d09631e3,type,cards,11-13
8044,12,right,2019-05-28 12:19:01.168000+00:00,C_E_M_O,12,6a36b606,correct,cards,11-13
14636,12,right,2019-05-28 12:19:02.491000+00:00,C_H_F_OT,26,d09631e3,orientation,cards,11-13
14630,12,left,2019-05-28 12:19:03.384000+00:00,A_H_M_CT,27,d09631e3,type,animals,11-13
10971,12,left,2019-05-28 12:19:05.992000+00:00,A_E_M_O,13,a3344a41,correct,animals,11-13
14648,12,left,2019-05-28 12:19:08.124000+00:00,A_H_M_OT,28,d09631e3,type,animals,11-13
14620,12,left,2019-05-28 12:19:09.849000+00:00,A_H_M_CO,29,d09631e3,orientation,animals,11-13
10945,12,right,2019-05-28 12:19:10.551000+00:00,A_E_M_C,14,a3344a41,correct,animals,11-13
8013,12,left,2019-05-28 12:19:12.882000+00:00,C_E_M_C,13,6a36b606,correct,cards,11-13
559,12,right,2019-05-28 12:19:13.291000+00:00,G_E_M_C,13,1454962c,correct,geometry,11-13
10930,12,right,2019-05-28 12:19:14.407000+00:00,G_E_M_O,15,a3344a41,correct,geometry,11-13
10993,12,left,2019-05-28 12:19:18.542000+00:00,G_E_M_C,16,a3344a41,wrong,geometry,11-13
10961,12,right,2019-05-28 12:19:19.781000+00:00,G_E_M_C,16,a3344a41,correct,geometry,11-13
557,12,left,2019-05-28 12:19:19.843000+00:00,G_E_M_T,14,1454962c,correct,geometry,11-13
14626,12,left,2019-05-28 12:19:20.393000+00:00,G_H_M_OT,30,d09631e3,orientation,geometry,11-13
8030,12,left,2019-05-28 12:19:22.507000+00:00,C_E_M_T,14,6a36b606,correct,cards,11-13
14632,12,left,2019-05-28 12:19:22.524000+00:00,G_H_M_CO,31,d09631e3,orientation,geometry,11-13
577,12,right,2019-05-28 12:19:22.679000+00:00,C_E_M_O,15,1454962c,correct,cards,11-13
10948,12,left,2019-05-28 12:19:22.760000+00:00,G_E_M_T,17,a3344a41,correct,geometry,11-13
14624,12,left,2019-05-28 12:19:25.058000+00:00,G_H_M_CT,32,d09631e3,color,geometry,11-13
569,12,left,2019-05-28 12:19:25.392000+00:00,C_E_M_C,16,1454962c,correct,cards,11-13
8041,12,left,2019-05-28 12:19:25.625000+00:00,A_E_M_T,15,6a36b606,correct,animals,11-13
10992,12,left,2019-05-28 12:19:27.039000+00:00,G_H_F_OT,18,a3344a41,orientation,geometry,11-13
538,12,left,2019-05-28 12:19:27.772000+00:00,C_E_M_T,17,1454962c,correct,cards,11-13
14621,12,right,2019-05-28 12:19:28.021000+00:00,C_H_M_CO,33,d09631e3,color,cards,11-13
10974,12,right,2019-05-28 12:19:29.306000+00:00,G_H_F_CO,19,a3344a41,color,geometry,11-13
14660,12,left,2019-05-28 12:19:30.399000+00:00,C_H_M_CT,34,d09631e3,color,cards,11-13
7989,12,left,2019-05-28 12:19:30.872000+00:00,A_E_M_O,16,6a36b606,correct,animals,11-13
10991,12,left,2019-05-28 12:19:31.303000+00:00,G_H_F_CT,20,a3344a41,color,geometry,11-13
586,12,right,2019-05-28 12:19:31.461000+00:00,A_H_F_CT,18,1454962c,color,animals,11-13
10976,12,left,2019-05-28 12:19:33.968000+00:00,A_H_F_CT,21,a3344a41,type,animals,11-13
8005,12,right,2019-05-28 12:19:35.019000+00:00,A_E_M_C,17,6a36b606,correct,animals,11-13
10938,12,left,2019-05-28 12:19:36.589000+00:00,A_H_F_OT,22,a3344a41,type,animals,11-13
527,12,right,2019-05-28 12:19:37.234000+00:00,A_H_F_OT,19,1454962c,orientation,animals,11-13
8025,12,left,2019-05-28 12:19:37.890000+00:00,A_H_F_CT,18,6a36b606,type,animals,11-13
14674,12,right,2019-05-28 12:19:39.255000+00:00,C_H_M_OT,35,d09631e3,orientation,cards,11-13
10981,12,right,2019-05-28 12:19:40.037000+00:00,A_H_F_CO,23,a3344a41,color,animals,11-13
587,12,left,2019-05-28 12:19:40.190000+00:00,A_H_F_CO,20,1454962c,orientation,animals,11-13
8004,12,left,2019-05-28 12:19:40.459000+00:00,A_H_F_OT,19,6a36b606,type,animals,11-13
588,12,right,2019-05-28 12:19:42.482000+00:00,C_H_F_CO,21,1454962c,orientation,cards,11-13
8048,12,right,2019-05-28 12:19:42.814000+00:00,A_H_F_CO,20,6a36b606,color,animals,11-13
571,12,right,2019-05-28 12:19:44.924000+00:00,C_H_F_CT,22,1454962c,type,cards,11-13
8037,12,left,2019-05-28 12:19:46.717000+00:00,C_H_F_CO,21,6a36b606,color,cards,11-13
14647,12,left,2019-05-28 12:19:47.362000+00:00,G_H_F_OT,36,d09631e3,orientation,geometry,11-13
554,12,right,2019-05-28 12:19:48.629000+00:00,C_H_F_OT,23,1454962c,orientation,cards,11-13
10983,12,left,2019-05-28 12:19:48.971000+00:00,C_H_F_CO,24,a3344a41,color,cards,11-13
7998,12,right,2019-05-28 12:19:49.691000+00:00,C_H_F_CT,22,6a36b606,type,cards,11-13
14653,12,right,2019-05-28 12:19:50.198000+00:00,G_H_F_OT,36,d09631e3,type,geometry,11-13
14608,12,right,2019-05-28 12:19:51.743000+00:00,G_H_M_OT,37,d09631e3,type,geometry,11-13
568,12,left,2019-05-28 12:19:52.667000+00:00,G_H_F_OT,24,1454962c,orientation,geometry,11-13
